URL, Size, Number of Outlinks, Conytent-Type
https://www.nytimes.com/, 224970, 299, text/html
https://www.nytimes.com/section/us, 135387, 141, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/trump-nuclear-arms-control.html, 77171, 98, text/html
https://www.nytimes.com/interactive/2017/07/19/us/what-trump-can-do-to-let-obamacare-fail.html, 60553, 38, text/html
https://www.nytimes.com/interactive/2017/07/28/us/columbia-river-privatization.html, 150023, 35, text/html
https://www.nytimes.com/2017/07/24/travel/innovations-travel-planning-reservations.html, 85569, 111, text/html
https://www.nytimes.com/2017/07/27/insider/1972-pressmen-balk-at-an-impeachment-ad-in-the-times.html, 92726, 116, text/html
https://www.nytimes.com/2017/07/29/nyregion/trump-police-too-nice.html, 91720, 118, text/html
https://www.nytimes.com/content/help/rights/privacy/policy/privacy-policy.html, 39715, 51, text/html
https://www.nytimes.com/video/us/politics/100000005320851/reince-priebus-donald-trump.html, 428329, 88, text/html
https://www.nytimes.com/2017/07/24/t-magazine/fashion/kansai-yamamoto-revival.html, 151689, 96, text/html
https://www.nytimes.com/2017/07/28/business/spain-europe-economy-recovery-unemployment.html, 128210, 119, text/html
https://www.nytimes.com/2017/07/28/us/politics/trump-immigration-gang-violence-long-island.html, 85887, 113, text/html
https://www.nytimes.com/2017/07/27/dining/wine-school-new-zealand-sauvignon-blanc.html, 102223, 110, text/html
https://www.nytimes.com/2017/07/29/opinion/sunday/republicans-douthat-politics.html, 83436, 107, text/html
https://www.nytimes.com/video, 262700, 85, text/html
https://www.nytimes.com/2017/07/14/nyregion/columbia-settles-with-student-cast-as-a-rapist-in-mattress-art-project.html, 95753, 104, text/html
https://www.nytimes.com/watching, 872185, 213, text/html
https://www.nytimes.com/interactive/2017/07/25/us/politics/senate-votes-repeal-obamacare.html, 294398, 34, text/html
https://www.nytimes.com/section/education, 148171, 157, text/html
https://www.nytimes.com/2017/07/28/us/politics/john-kelly-chief-of-staff-donald-trump.html, 100271, 120, text/html
https://www.nytimes.com/2017/07/27/technology/ubers-next-ceo-meg-whitman-says-it-wont-be-her.html, 81449, 106, text/html
https://www.nytimes.com/section/movies, 140028, 164, text/html
https://www.nytimes.com/2017/01/20/us/politics/trump-inauguration-day.html, 435584, 134, text/html
https://www.nytimes.com/2017/07/28/opinion/sunday/mattis-mcmaster-foreign-policy-trump.html, 93730, 101, text/html
https://www.nytimes.com/2017/07/28/arts/television/the-baronesses-are-coming-and-filling-a-comedy-gender-gap.html, 97117, 105, text/html
https://www.nytimes.com/2017/07/28/opinion/sunday/trump-tillerson-state-department-diplomats.html, 102511, 108, text/html
https://www.nytimes.com/2017/01/26/us/politics/donald-trump-obamacare-ads.html?action=click&contentCollection=undefined&contentPlacement=5&module=stream_unit&pgtype=collection&region=stream&rref=collection%2Fbyline%2Frobert-pear&version=latest, 76686, 99, text/html
https://www.nytimes.com/2017/07/28/opinion/sally-yates-protect-the-justice-department-from-president-trump.html, 88869, 102, text/html
https://www.nytimes.com/recommendations, 32690, 64, text/html
https://www.nytimes.com/2017/07/28/us/politics/reince-priebus-white-house-trump.html, 104677, 132, text/html
https://www.nytimes.com/2017/07/29/business/tesla-model-3-elon-musk.html, 94278, 104, text/html
https://www.nytimes.com/by/haeyoun-park, 110441, 122, text/html
https://www.nytimes.com/real-estate/mortgage-calculator, 15373, 27, text/html
https://www.nytimes.com/2017/03/24/upshot/trumps-choice-on-obamacare-sabotage-or-co-opt.html, 100836, 121, text/html
https://www.nytimes.com/2017/07/28/world/australia/iraqi-surgeon-returns-home-to-help-the-wounded-get-back-in-the-fight.html, 111240, 117, text/html
https://www.nytimes.com/2017/07/28/us/cia-interrogations-torture-psychologists.html, 99348, 109, text/html
https://www.nytimes.com/section/t-magazine, 155248, 167, text/html
https://www.nytimes.com/2017/07/28/us/alabama-may-be-trump-country-but-its-standing-with-sessions.html, 97118, 117, text/html
https://www.nytimes.com/2017/07/25/magazine/the-lonely-crusade-of-chinas-human-rights-lawyers.html, 152452, 111, text/html
https://www.nytimes.com/interactive/2017/03/24/us/essential-health-benefits.html, 50290, 27, text/html
https://www.nytimes.com/2017/07/28/arts/dropping-in-at-the-comedy-cellar-with-amy-schumer-and-leslie-jones.html, 98975, 108, text/html
https://www.nytimes.com/2017/07/27/movies/atomic-blonde-review-charlize-theron.html, 95089, 107, text/html
https://www.nytimes.com/2017/02/15/us/politics/affordable-care-act-obamacare-trump.html, 94200, 112, text/html
https://www.nytimes.com/section/nyregion, 132304, 139, text/html
https://www.nytimes.com/2017/07/28/us/politics/reince-priebus-donald-trump-relationship.html, 119402, 124, text/html
https://www.nytimes.com/2017/07/28/movies/an-inconvenient-truth-al-gore-documentary-sequels.html, 96342, 109, text/html
